Nr,Years,Business as usual,Combined effect,Compost,Technical and Market support
1,2024,147.9182694,154.2586946,244.7388445,47.30648797
1,2025,403.6160913,725.6458022,730.8340817,348.718626
1,2026,848.7770183,1913.838606,1759.752843,873.1785681
1,2027,1327.709328,3337.754197,2992.62142,1443.404706
1,2028,1759.063513,4716.46541,4158.221146,1963.830701
1,2029,1520.286476,5056.875133,4357.344337,1768.15168
1,2030,943.9694774,4429.419175,3765.41053,1161.439142
1,2031,558.9877838,3971.123792,3339.086309,734.1248306
1,2032,274.4287097,3687.012167,3070.024817,468.9041632
1,2033,215.2822428,3989.968941,3270.059044,497.4989988
1,2034,543.3679555,5142.556086,4196.825865,910.7181454
1,2035,1103.248451,6857.695076,5615.971035,1573.885078
1,2036,1739.018743,8636.402067,7128.226098,2300.942847
1,2037,2376.608447,10416.36957,8646.030874,3023.601325
1,2038,2991.760778,12264.38401,10202.956,3729.160019
1,2039,3605.797918,14031.56312,11698.55439,4431.084578
1,2040,4199.395766,15857.34718,13210.41028,5127.977426
1,2041,4789.886824,17774.6504,14786.5807,5829.270823
1,2042,5320.707653,19710.39474,16361.73395,6489.949339
1,2043,5842.674198,21544.83549,17861.64016,7117.709264
1,2044,6436.87683,23304.64862,19334.87689,7799.751203
1,2045,7055.198255,25062.70726,20809.20247,8514.615536
1,2046,7632.717538,26753.86295,22224.99691,9179.208416
1,2047,8181.214726,28407.18017,23597.77108,9831.021139
1,2048,8656.582515,30070.87873,24946.05063,10393.68758
1,2049,8452.12811,30457.15446,25183.21006,10218.81117
1,2050,7969.077625,29929.05238,24686.86248,9713.330454
1,2051,7569.852018,29448.16704,24235.75395,9260.08696
1,2052,7313.815058,29186.10265,23988.37172,9022.577761
1,2053,7358.731218,29548.37913,24270.71962,9237.908451
1,2054,7733.13316,30696.73669,25208.74392,9742.23787
1,2055,8239.758743,32444.45619,26618.25143,10381.05695
1,2056,8825.260129,34336.43217,28175.14029,11086.55204
1,2057,9421.99805,36257.16888,29773.20375,11805.41552
1,2058,9989.705301,38248.76153,31387.48094,12484.49155
1,2059,10590.07407,40215.08273,33000.88099,13201.19154
1,2060,11189.47853,41955.2672,34464.5992,13898.09825
1,2061,11805.54537,43873.99173,36045.50107,14629.98425
1,2062,12340.80058,45786.85464,37602.82722,15280.83458
1,2063,13187.68464,48107.91427,39512.73296,16285.4704
1,2064,16554.42033,53602.857,44183.79884,20179.62927
2,2024,129.8835881,137.8587343,216.4461406,36.97302627
2,2025,330.9513539,662.244506,615.0906846,307.8635701
2,2026,696.0949627,1769.969809,1484.741492,790.8181233
2,2027,1084.177552,3101.361064,2500.3849,1318.428793
2,2028,1432.056755,4369.962368,3445.330423,1798.260507
2,2029,1144.569136,4640.865661,3493.896803,1581.596127
2,2030,576.4380601,4023.11368,2909.801918,983.7220184
2,2031,195.1114095,3570.678777,2485.43813,562.1307053
