Nr,Tree name,product_category,Years,Business as usual,Combined effect,Compost,Technical and Market support,,,
1,Coffee Arabica [Fairchain],Stimulant,2024,0.428336752,0.715941298,0.664330376,0.472517276,,,
1,Coffee Arabica [Fairchain],Stimulant,2025,0.564647585,1.030959238,0.960350584,0.611886851,,,
1,Coffee Arabica [Fairchain],Stimulant,2026,0.655628219,1.352268959,1.254404381,0.704026584,,,
1,Coffee Arabica [Fairchain],Stimulant,2027,0.634261244,1.370023303,1.249290531,0.693021992,,,
1,Coffee Arabica [Fairchain],Stimulant,2028,0.709743204,1.522162764,1.384069228,0.766004459,,,
1,Coffee Arabica [Fairchain],Stimulant,2029,0,0,0,0,,,
1,Coffee Arabica [Fairchain],Stimulant,2030,0,0,0,0,,,
1,Coffee Arabica [Fairchain],Stimulant,2031,0,0,0,0,,,
1,Coffee Arabica [Fairchain],Stimulant,2032,0.176118615,0.376967389,0.32409857,0.273136934,,,
1,Coffee Arabica [Fairchain],Stimulant,2033,0.447107409,0.976345975,0.860039986,0.508865308,,,
1,Coffee Arabica [Fairchain],Stimulant,2034,0.627780666,1.423119229,1.259114498,0.692288219,,,
1,Coffee Arabica [Fairchain],Stimulant,2035,0.693303497,1.577271597,1.41418266,0.752205224,,,
1,Coffee Arabica [Fairchain],Stimulant,2036,0.685531169,1.517125307,1.379379885,0.737512904,,,
1,Coffee Arabica [Fairchain],Stimulant,2037,0.692469137,1.607062317,1.438956565,0.747166144,,,
1,Coffee Arabica [Fairchain],Stimulant,2038,0.673525529,1.555328295,1.400820081,0.728960886,,,
1,Coffee Arabica [Fairchain],Stimulant,2039,0.683694248,1.539400441,1.373210349,0.738842022,,,
1,Coffee Arabica [Fairchain],Stimulant,2040,0.721549105,1.692165631,1.500073549,0.781890278,,,
1,Coffee Arabica [Fairchain],Stimulant,2041,0.714455893,1.748496692,1.531142853,0.794015052,,,
1,Coffee Arabica [Fairchain],Stimulant,2042,0.71518223,1.770327276,1.562114971,0.794032137,,,
1,Coffee Arabica [Fairchain],Stimulant,2043,0.685167161,1.607932131,1.434532093,0.751353119,,,
1,Coffee Arabica [Fairchain],Stimulant,2044,0.686104005,1.473186283,1.325307752,0.73658684,,,
1,Coffee Arabica [Fairchain],Stimulant,2045,0.694192978,1.596649847,1.424555773,0.751517385,,,
1,Coffee Arabica [Fairchain],Stimulant,2046,0.64863706,1.403309226,1.261009883,0.707868016,,,
1,Coffee Arabica [Fairchain],Stimulant,2047,0.656992992,1.566673674,1.38155859,0.719166806,,,
1,Coffee Arabica [Fairchain],Stimulant,2048,0.722505408,1.65773658,1.475694823,0.780110006,,,
1,Coffee Arabica [Fairchain],Stimulant,2049,0,0,0,0,,,
1,Coffee Arabica [Fairchain],Stimulant,2050,0,0,0,0,,,
1,Coffee Arabica [Fairchain],Stimulant,2051,0,0,0,0,,,
1,Coffee Arabica [Fairchain],Stimulant,2052,0.173499491,0.342577491,0.301165382,0.318270277,,,
1,Coffee Arabica [Fairchain],Stimulant,2053,0.431310631,0.884862609,0.78808552,0.521458028,,,
1,Coffee Arabica [Fairchain],Stimulant,2054,0.641299541,1.499276122,1.303266294,0.725996997,,,
1,Coffee Arabica [Fairchain],Stimulant,2055,0.723283858,1.731761333,1.51927296,0.801336105,,,
1,Coffee Arabica [Fairchain],Stimulant,2056,0.674912302,1.550085362,1.390286342,0.745978266,,,
1,Coffee Arabica [Fairchain],Stimulant,2057,0.724317097,1.830613899,1.606526573,0.806060408,,,
1,Coffee Arabica [Fairchain],Stimulant,2058,0.71700471,1.744921313,1.533246743,0.791112358,,,
1,Coffee Arabica [Fairchain],Stimulant,2059,0.68212691,1.588906021,1.421568312,0.750502387,,,
1,Coffee Arabica [Fairchain],Stimulant,2060,0.692596688,1.556292619,1.384898901,0.755419622,,,
1,Coffee Arabica [Fairchain],Stimulant,2061,0.740649247,1.865378423,1.629875952,0.818499411,,,
1,Coffee Arabica [Fairchain],Stimulant,2062,0.698526802,1.654455039,1.468465977,0.769834114,,,
