Nr,Years,Business as usual,Combined effect,Compost,Technical and Market support
1,2024,1.166540326,1.166540326,1.166540326,1.166540326
1,2025,1.17362181,1.17362181,1.17362181,1.17362181
1,2026,1.185753616,1.185753616,1.185753616,1.185753616
1,2027,1.182589517,1.182589517,1.182589517,1.182589517
1,2028,1.185753616,1.185753616,1.185753616,1.185753616
1,2029,1.567701276,1.567701276,1.567701276,1.567701276
1,2030,1.377029124,1.377029124,1.377029124,1.377029124
1,2031,1.20896068,1.20896068,1.20896068,1.20896068
1,2032,1.185753616,1.185753616,1.185753616,1.185753616
1,2033,1.185941904,1.185941904,1.185941904,1.185941904
1,2034,1.182217242,1.182217242,1.182217242,1.182217242
1,2035,1.189028501,1.189028501,1.189028501,1.189028501
1,2036,1.182589517,1.182589517,1.182589517,1.182589517
1,2037,1.189279149,1.189279149,1.189279149,1.189279149
1,2038,1.181968371,1.181968371,1.181968371,1.181968371
1,2039,1.185941904,1.185941904,1.185941904,1.185941904
1,2040,1.185753616,1.185753616,1.185753616,1.185753616
1,2041,1.189279149,1.189279149,1.189279149,1.189279149
1,2042,1.178799061,1.178799061,1.178799061,1.178799061
1,2043,1.189279149,1.189279149,1.189279149,1.189279149
1,2044,1.185753616,1.185753616,1.185753616,1.185753616
1,2045,1.185941904,1.185941904,1.185941904,1.185941904
1,2046,1.181950386,1.181950386,1.181950386,1.181950386
1,2047,1.189279149,1.189279149,1.189279149,1.189279149
1,2048,1.182589517,1.182589517,1.182589517,1.182589517
1,2049,1.567701276,1.567701276,1.567701276,1.567701276
1,2050,1.378348359,1.378348359,1.378348359,1.378348359
1,2051,1.207571796,1.207571796,1.207571796,1.207571796
1,2052,1.185753616,1.185753616,1.185753616,1.185753616
1,2053,1.186997488,1.186997488,1.186997488,1.186997488
1,2054,1.180970304,1.180970304,1.180970304,1.180970304
1,2055,1.189279149,1.189279149,1.189279149,1.189279149
1,2056,1.185753616,1.185753616,1.185753616,1.185753616
1,2057,1.182405531,1.182405531,1.182405531,1.182405531
1,2058,1.185410602,1.185410602,1.185410602,1.185410602
1,2059,1.189279149,1.189279149,1.189279149,1.189279149
1,2060,1.182589517,1.182589517,1.182589517,1.182589517
1,2061,1.185493904,1.185493904,1.185493904,1.185493904
1,2062,1.185753616,1.185753616,1.185753616,1.185753616
1,2063,1.185941904,1.185941904,1.185941904,1.185941904
1,2064,0.535120465,0.535120465,0.535120465,0.535120465
2,2024,1.166540326,1.166540326,1.166540326,1.166540326
2,2025,1.17362181,1.17362181,1.17362181,1.17362181
2,2026,1.185753616,1.185753616,1.185753616,1.185753616
2,2027,1.182589517,1.182589517,1.182589517,1.182589517
2,2028,1.185753616,1.185753616,1.185753616,1.185753616
2,2029,1.567701276,1.567701276,1.567701276,1.567701276
2,2030,1.377029124,1.377029124,1.377029124,1.377029124
2,2031,1.20896068,1.20896068,1.20896068,1.20896068
2,2032,1.185753616,1.185753616,1.185753616,1.185753616
2,2033,1.185941904,1.185941904,1.185941904,1.185941904
2,2034,1.182217242,1.182217242,1.182217242,1.182217242
2,2035,1.189028501,1.189028501,1.189028501,1.189028501
2,2036,1.182589517,1.182589517,1.182589517,1.182589517
2,2037,1.189279149,1.189279149,1.189279149,1.189279149
2,2038,1.181968371,1.181968371,1.181968371,1.181968371
2,2039,1.185941904,1.185941904,1.185941904,1.185941904
2,2040,1.185753616,1.185753616,1.185753616,1.185753616
2,2041,1.189279149,1.189279149,1.189279149,1.189279149
2,2042,1.178799061,1.178799061,1.178799061,1.178799061
2,2043,1.189279149,1.189279149,1.189279149,1.189279149
2,2044,1.185753616,1.185753616,1.185753616,1.185753616
2,2045,1.185941904,1.185941904,1.185941904,1.185941904
2,2046,1.181950386,1.181950386,1.181950386,1.181950386
2,2047,1.189279149,1.189279149,1.189279149,1.189279149
2,2048,1.182589517,1.182589517,1.182589517,1.182589517
2,2049,1.567701276,1.567701276,1.567701276,1.567701276
2,2050,1.378348359,1.378348359,1.378348359,1.378348359
2,2051,1.207571796,1.207571796,1.207571796,1.207571796
2,2052,1.185753616,1.185753616,1.185753616,1.185753616
2,2053,1.186997488,1.186997488,1.186997488,1.186997488
2,2054,1.180970304,1.180970304,1.180970304,1.180970304
2,2055,1.189279149,1.189279149,1.189279149,1.189279149
2,2056,1.185753616,1.185753616,1.185753616,1.185753616
2,2057,1.182405531,1.182405531,1.182405531,1.182405531
2,2058,1.185410602,1.185410602,1.185410602,1.185410602
2,2059,1.189279149,1.189279149,1.189279149,1.189279149
2,2060,1.182589517,1.182589517,1.182589517,1.182589517
2,2061,1.185493904,1.185493904,1.185493904,1.185493904
2,2062,1.185753616,1.185753616,1.185753616,1.185753616
2,2063,1.185941904,1.185941904,1.185941904,1.185941904
2,2064,0.535120465,0.535120465,0.535120465,0.535120465
3,2024,1.096287159,1.096287159,1.096287159,1.096287159
3,2025,1.118101141,1.118101141,1.118101141,1.118101141
3,2026,1.159477077,1.159477077,1.159477077,1.159477077
3,2027,1.177764401,1.177764401,1.177764401,1.177764401
3,2028,1.190207053,1.190207053,1.190207053,1.190207053
3,2029,1.756152218,1.756152218,1.756152218,1.756152218
3,2030,1.433756704,1.433756704,1.433756704,1.433756704
3,2031,1.135711152,1.135711152,1.135711152,1.135711152
3,2032,1.134919519,1.134919519,1.134919519,1.134919519
3,2033,1.15862481,1.15862481,1.15862481,1.15862481
3,2034,1.178554106,1.178554106,1.178554106,1.178554106
3,2035,1.192617929,1.192617929,1.192617929,1.192617929
3,2036,1.187006022,1.187006022,1.187006022,1.187006022
3,2037,1.192791279,1.192791279,1.192791279,1.192791279
3,2038,1.18759906,1.18759906,1.18759906,1.18759906
3,2039,1.10482114,1.10482114,1.10482114,1.10482114
3,2040,1.134919519,1.134919519,1.134919519,1.134919519
3,2041,1.162097492,1.162097492,1.162097492,1.162097492
3,2042,1.175147553,1.175147553,1.175147553,1.175147553
3,2043,1.192791279,1.192791279,1.192791279,1.192791279
